number,num_pol,cost,age,older,car,output
3094245391,2,198.5,62,7,1,0
592506211,2,198.5,57,28,1,0
82829980,1,202,73,8,0,0
488986131,2,203.5,92,17,1,0
360451690,1,205,42,26,0,0
597342280,1,205,55,23,0,1
373891030,1,206,42,6,0,0
383074271,1,206,46,6,1,0
513916540,1,206,68,6,0,1
292844600,1,208,49,24,0,0
292844781,2,209,49,34,1,0
502892480,1,209,71,20,0,0
292799731,3,211.6666667,49,37,1,0
268149471,2,214,71,32,1,1
338529141,4,220.5,45,24,1,0
586967820,1,221,57,5,0,1
221234590,2,231,56,20,0,1
532740150,4,244,67,46,0,0
249928771,2,251,52,16,1,0
555428720,3,251,63,0,0,1
272019120,2,254.5,48,15,0,0
272019121,2,254.5,48,34,1,0
292808071,2,257.5,50,41,1,1
3149909871,2,257.5,25,9,1,0
432458100,2,257.5,40,11,0,0
106983300,2,258,73,30,0,0
347636071,2,258,36,18,1,0
393350471,2,258,38,10,1,0
3149917120,2,259,25,7,0,0
3182210411,2,259,24,9,1,0
345090261,2,259,44,41,1,1
373809380,2,259,41,12,0,0
491732481,2,259,41,21,1,0
279754571,2,259.5,51,18,1,0
345549981,2,259.5,44,14,1,0
224265141,4,263.25,55,7,1,0
324376671,3,264,47,38,1,1
3002379061,2,264.5,35,5,1,1
3011552891,2,265.5,34,0,1,0
337675341,5,269.4,44,15,1,0
577812211,2,274.5,59,44,1,0
16712050,1,276,75,24,0,0
218090250,1,276,39,7,0,0
360383470,1,276,42,9,0,0
398309140,1,276,38,7,0,0
501932911,2,276,71,26,1,0
363214041,4,276.25,42,14,1,0
227389911,2,278,54,25,1,1
3181626251,3,286,25,2,1,0
149097740,1,288,70,21,0,1
357408771,3,290.3333333,43,7,1,1
72831790,2,302,73,33,0,0
271782191,4,303.25,47,51,1,0
308334610,1,304,77,20,0,0
347536401,3,308,36,19,1,0
268149470,1,310,71,30,0,0
288539920,1,310,50,6,0,1
3087789430,1,310,61,34,0,0
3089396440,1,310,67,7,0,1
3089396770,2,310,35,13,0,0
3118666850,1,310,46,9,0,1
368281840,1,310,37,2,0,0
527914230,1,310,40,1,0,0
587386000,1,310,57,9,0,0
589394551,2,310,57,4,1,0
604791360,1,310,80,12,0,0
78351840,1,310,75,7,0,1
3101082531,2,310.5,54,27,1,0
593672501,2,310.5,57,22,1,1
243070430,1,316,52,14,0,0
524715470,1,320,68,19,0,1
109870891,2,322,74,37,1,0
2091099331,2,322.5,22,19,1,0
